,handle,name
283,RepCharlieDent,rep. charlie dent
284,RepLoBiondo,frank lobiondo
285,RepYvetteClarke,yvette d. clarke
286,RepGosar,"rep. paul gosar, dds"
287,RepMcKinley,david b. mckinley
288,RepJeffDuncan,rep. jeff duncan
289,RepMickMulvaney,rep. mick mulvaney
290,RepTomMarino,rep. tom marino
291,HouseHomeland,homelandsecuritycmte
292,RepKarenBass,congressmember bass
293,RepLouBarletta,rep. lou barletta
294,RepWalberg,rep tim walberg
295,RepHultgren,rep. randy hultgren
296,RepHartzler,rep. vicky hartzler
297,RepSteveChabot,rep. steve chabot
298,TGowdySC,trey gowdy
299,RepBillFlores,rep. bill flores
300,RepMoBrooks,mo brooks
301,RepJimRenacci,rep. jim renacci
302,SenGaryPeters,senator gary peters
303,NormaJTorres,rep. norma torres
304,RepHanabusa,colleen hanabusa
305,DesJarlaisTN04,scott desjarlais
306,RepStevePearce,steve pearce
307,RepKristiNoem,rep. kristi noem
308,SenCoryGardner,cory gardner
309,RepChuck,chuck fleischmann
310,RepBobGibbs,rep. bob gibbs
311,RepLarryBucshon,"larry bucshon, md"
312,AustinScottGA08,rep. austin scott
313,HouseAgNews,house ag committee
314,rep_stevewomack,rep. steve womack
315,Sen_JoeManchin,senator joe manchin
316,ImmigrationGOP,immigration subcmte
317,SenToddYoung,senator todd young
318,RepMGriffith,morgan griffith
319,RepSeanDuffy,sean duffy
320,RepWilson,frederica wilson
321,RepHuizenga,rep. bill huizenga
322,justinamash,justin amash
323,SenRonJohnson,senator ron johnson
324,SenateAgDems,senate ag democrats
325,RepRickCrawford,rep rick crawford
326,USRepKeating,bill keating
327,JoaquinCastrotx,joaquin castro
328,RepBrendanBoyle,brendan boyle
329,RepDavid,rep david schweikert
330,SenatorLankford,sen. james lankford
331,HouseAdmnGOP,cha republicans
332,RepMarthaRoby,rep. martha roby
333,SenBennetCO,michael f. bennet
334,NitaLowey,nita lowey
335,SenToomey,senator pat toomey
336,RepKinzinger,adam kinzinger
337,SenatorTimScott,tim scott
338,RandPaul,senator rand paul
339,SenDonnelly,senator joe donnelly
340,RepBillJohnson,bill johnson
341,RepSteveStivers,steve stivers
342,RepCuellar,rep. henry cuellar
343,SenJohnBarrasso,sen. john barrasso
344,RepAndreCarson,andré carson
345,RepVisclosky,rep. pete visclosky
346,SenCapito,shelley moore capito
347,RepJudyChu,judy chu
348,RepTomGraves,tom graves
349,Clyburn,james e. clyburn
350,timkaine,senator tim kaine
351,SenateBudget,senate budget cmte
352,SenBobCasey,senator bob casey
353,repdavidscott,david scott
354,RepEBJ,us rep e.b.johnson
355,NydiaVelazquez,rep. nydia velazquez
356,RepEliotEngel,eliot engel
357,repcleaver,rep. emanuel cleaver
358,RepCohen,steve cohen
359,BobbyScott,rep. bobby scott
360,RepKayGranger,rep. kay granger
361,gracenapolitano,rep.grace napolitano
362,RepAlGreen,congressman al green
363,RepDavidEPrice,david e. price
364,RepLloydDoggett,lloyd doggett
365,RepMarciaFudge,rep. marcia l. fudge
366,HouseBudgetDems,house budget dems
367,ChrisMurphyCT,chris murphy
368,RepBrady,bob brady
369,RepRobBishop,rob bishop
370,rosadelauro,rosa delauro
371,RepJohnConyers,"john conyers, jr."
372,RepTedDeutch,rep. ted deutch
373,AGBecerra,xavier becerra
374,RepJimMcDermott,jim mcdermott
375,RepFredUpton,fred upton
376,repdinatitus,dina titus
377,RepTimMurphy,rep. tim murphy
378,SenatorCantwell,sen. maria cantwell
379,JECDems,jec democrats
380,DWStweets,d wasserman schultz
381,HouseCommerce,energy and commerce
382,RepRonKind,rep. ron kind
383,repjoecrowley,rep. joe crowley
384,RepGeneGreen,rep. gene green
385,RepDianeBlack,diane black
386,SenatorShaheen,sen. jeanne shaheen
387,JECRepublicans,jec republicans
388,SenatorCardin,senator ben cardin
389,SenateBanking,senate banking dems
390,maziehirono,senator mazie hirono
391,RepDwightEvans,dwight evans
392,RepGaramendi,john garamendi
393,SenMikeLee,mike lee
394,RepJoeCourtney,rep. joe courtney
395,RepPaulTonko,paul tonko
396,EnergyGOP,senate energy gop
397,BennieGThompson,repbthompson
398,JacksonLeeTX18,sheila jackson lee
399,GerryConnolly,gerry connolly
400,SenatorIsakson,johnny isakson
401,RulesReps,houserulescommittee
402,SenAlexander,sen. lamar alexander
403,SenStabenow,sen. debbie stabenow
404,Robert_Aderholt,rep. robert aderholt
405,CongMikeSimpson,cong. mike simpson
406,HouseForeign,foreign affairs cmte
407,SenPatRoberts,pat roberts
408,BillPascrell,"bill pascrell, jr."
409,HASCDemocrats,house armed services
410,JudgeTedPoe,ted poe
411,SenBobCorker,senator bob corker
412,SenGillibrand,kirsten gillibrand
413,louiseslaughter,louise slaughter
414,HFACDemocrats,foreign affairs cmte
415,SenatorTomUdall,tom udall
416,RepAdamSmith,rep. adam smith
417,RepMikeQuigley,mike quigley
418,BillCassidy,bill cassidy
419,DrPhilRoe,dr. phil roe
420,RepMikeTurner,us rep. mike turner
421,RepJohnLarson,rep. john larson
422,RepMcClintock,tom mcclintock
423,SteveKingIA,steve king
424,SenatorSessions,sen. jeff sessions
425,RepMimiWalters,mimi walters
426,brianschatz,brian schatz
427,SenSherrodBrown,sherrod brown
428,FinancialCmte,financial services
429,aguilarpete,pete aguilar
430,RepSmucker,rep. lloyd smucker
431,RepJerryNadler,(((rep. nadler)))
432,USRepMikeDoyle,mike doyle
433,Robin42CD,robin kelly
434,DorisMatsui,rep. doris matsui
435,RepGoodlatte,bob goodlatte
436,MarioDB,mario diaz-balart
437,repdonyoung,rep. don young
438,RepGutierrez,luis v. gutierrez
439,MaxineWaters,maxine waters
440,Transport,t&i committee
441,RepMikeRogersAL,mike rogers
442,RepDennisRoss,dennis ross
443,RepBrianHiggins,brian higgins
444,RepJoseSerrano,jose e. serrano
445,amyklobuchar,amy klobuchar
446,repgregwalden,rep. greg walden
447,FrankPallone,rep. frank pallone
448,jahimes,jim himes
449,WaysMeansCmte,ways and means dems
450,OversightDems,house oversightdems
451,EnergyCommerce,energy commerce dems
452,AppropsDems,appropriations-dems
453,KamalaHarris,kamala harris
454,BradSherman,brad sherman
455,RepAdamSchiff,adam schiff
456,repjohnlewis,john lewis
457,SenSanders,bernie sanders
458,SenJeffMerkley,senator jeff merkley
459,RepRaulGrijalva,raul m. grijalva
460,RepDianaDeGette,rep. diana degette
461,PatrickMcHenry,patrick mchenry
462,RepWalterJones,rep. walter jones
463,RepMcCaul,michael mccaul
464,RepGusBilirakis,gus bilirakis
465,repsandylevin,sandy levin
466,congbillposey,bill posey
467,RepSpeier,jackie speier
468,RepTrentFranks,rep. trent franks
469,RepHankJohnson,rep. hank johnson
470,PeteSessions,pete sessions
471,janschakowsky,jan schakowsky
472,CongCulberson,john culberson
473,RepKenMarchant,kenny marchant
474,TomRooney,tom rooney
475,GreggHarper,gregg harper
476,EleanorNorton,eleanor h. norton
477,davidcicilline,david cicilline
478,TomColeOK04,rep. tom cole
479,GregoryMeeks,gregory meeks
480,RepGwenMoore,gwen moore
481,KenCalvert,ken calvert
482,RepBillShuster,bill shuster
483,repjimcooper,jim cooper
484,DarrellIssa,darrell issa
485,replouiegohmert,louie gohmert
486,SciCmteDems,science committee
487,WhipHoyer,steny hoyer
488,SenMarkey,ed markey
489,RoyBlunt,senator roy blunt
490,SenatorBurr,richard burr
491,SenShelby,richard shelby
492,SenBillNelson,bill nelson
493,RepPerlmutter,rep. ed perlmutter
494,InhofePress,inhofe press office
495,RepSchrader,rep. kurt schrader
496,VernBuchanan,rep. vern buchanan
497,HASCRepublicans,armed services
498,stabenow,debbie stabenow
499,RepPeteOlson,rep. pete olson
500,PeterRoskam,peter roskam
501,RepJoeBarton,joe barton
502,RepKevinBrady,repkevinbrady
503,GOPLeader,kevin mccarthy
504,SenatorCollins,sen. susan collins
505,RepLynnJenkins,lynn jenkins
506,RepMikeCoffman,rep. mike coffman
507,SenJohnMcCain,john mccain
508,repbenraylujan,ben ray lujan
509,DanaRohrabacher,dana rohrabacher
510,CongressmanGT,glenn 'gt' thompson
511,SpeakerRyan,paul ryan
512,senrobportman,rob portman
513,jimlangevin,jim langevin
514,JeffFortenberry,jeff fortenberry
515,RepScottPerry,repscottperry
516,RepSires,albio sires
517,SenatorMenendez,senator bob menendez
518,JerryMoran,jerry moran
519,RepHensarling,jeb hensarling
520,RepPeteKing,rep. pete king
521,Jim_Jordan,rep. jim jordan
522,ChrisVanHollen,chris van hollen
523,lisamurkowski,sen. lisa murkowski
524,JudgeCarter,judge carter
525,cathymcmorris,cathymcmorrisrodgers
526,dinatitus,dina titus
527,farenthold,blake farenthold
528,jasoninthehouse,jason chaffetz
529,ToddRokita,rep. todd rokita
530,RepErikPaulsen,rep. erik paulsen
531,SenSchumer,chuck schumer
532,EdWorkforce,ed & workforce cmte
533,virginiafoxx,virginia foxx
534,clairecmc,claire mccaskill
535,davereichert,dave reichert
536,JeffFlake,jeff flake
537,repblumenauer,earl blumenauer
538,LamarSmithTX21,lamar smith
539,CoryBooker,cory booker
540,NancyPelosi,nancy pelosi
541,michaelcburgess,"michael burgess, md"
542,marcorubio,marco rubio
543,RepShimkus,john shimkus
544,boblatta,u.s. rep. bob latta
545,jaredpolis,jared polis
546,RobWittman,rep. rob wittman
547,ChrisCoons,senator chris coons
548,chelliepingree,chellie pingree
549,johnculberson,johnculberson
550,GrahamBlog,lindsey graham
551,SenateGOP,senate republicans
552,RosLehtinen,ileana ros-lehtinen
553,keithellison,rep. keith ellison
554,RepTimRyan,congressman tim ryan
555,JohnCornyn,johncornyn
556,WaysandMeansGOP,ways and means
557,SteveDaines,steve daines
558,ChuckGrassley,chuckgrassley
559,MarkWarner,mark warner
560,alfranken,al franken
561,jiminhofe,jim inhofe
562,RepTomPrice,tom price
563,JohnBoozman,senator john boozman
