,body,end,name,party,state,yrs
435,house,"january 3, 2019",richard neal,democratic,"massachusetts, district 1",28
436,house,"january 3, 2017",rick allen,republican,"georgia, district 12",2
437,house,"january 3, 2019",rick crawford,republican,"arkansas, district 1",6
438,house,"january 3, 2019",rick larsen,democratic,"washington, district 2",16
439,house,"january 3, 2019",rick nolan,democratic,"minnesota, district 8",4
440,house,"january 3, 2019",ro khanna,democratic,"california, district 17",0
441,house,"january 3, 2019",rob bishop,republican,"utah, district 1",14
442,house,"january 3, 2019",rob wittman,republican,"virginia, district 1",10
443,house,"january 3, 2019",rob woodall,republican,"georgia, district 7",6
444,house,"january 3, 2019",robert aderholt,republican,"alabama, district 4",20
445,house,"january 3, 2019",robert brady,democratic,"pennsylvania, district 1",19
446,house,"january 3, 2019",robert pittenger,republican,"north carolina, district 9",4
447,house,"january 3, 2015",robin kelly,democratic,"illinois, district 2",4
448,house,"january 3, 2017",rod blum,republican,"iowa, district 1",2
449,house,"january 3, 2019",rodney davis,republican,"illinois, district 13",4
450,house,"january 3, 2019",rodney frelinghuysen,republican,"new jersey, district 11",22
451,house,"january 3, 2019",roger marshall,republican,"kansas, district 1",0
452,house,"january 3, 2019",roger williams,republican,"texas, district 25",4
453,house,"january 3, 2019",ron desantis,republican,"florida, district 6",4
454,house,"january 3, 2019",ron kind,democratic,"wisconsin, district 3",20
455,house,"january 3, 2019",rosa l. delauro,democratic,"connecticut, district 3",26
456,house,"january 3, 2019",ruben gallego,democratic,"arizona, district 7",2
457,house,"january 3, 2019",ruben j. kihuen,democratic,"nevada, district 4",0
458,house,"january 3, 2019",ryan costello,republican,"pennsylvania, district 6",2
459,house,"january 3, 2019",ryan zinke,republican,president donald trump's pick for secretary of the interior,2
460,house,"january 3, 2019",salud carbajal,democratic,"california, district 24",0
461,house,"january 3, 2019",sam graves,republican,"missouri, district 6",16
462,house,"january 3, 2019",sam johnson,republican,"texas, district 3",26
463,house,"january 3, 2019",sandy levin,democratic,"michigan, district 9",34
464,house,"january 3, 2019","sanford bishop, jr",democratic,"georgia, district 2",24
465,house,"january 3, 2019",scott desjarlais,republican,"tennessee, district 4",6
466,house,"january 3, 2019",scott perry,republican,"pennsylvania, district 4",4
467,house,"january 3, 2019",scott peters,democratic,"california, district 52",4
468,house,"january 3, 2019",scott taylor,republican,"virginia, district 2",0
469,house,"january 3, 2019",scott tipton,republican,"colorado, district 3",6
470,house,"january 3, 2019",sean duffy,republican,"wisconsin, district 7",6
471,house,"january 3, 2019",sean maloney,democratic,"new york, district 18",4
472,house,"january 3, 2019",seth moulton,democratic,"massachusetts, district 6",2
473,house,"january 3, 2019",sheila jackson lee,democratic,"texas, district 18",22
474,house,"january 3, 2019",steny hoyer,democratic,"maryland, district 5",36
475,house,"january 3, 2019",stephanie murphy,democratic,"florida, district 7",0
476,house,"january 3, 2019",stephen knight,republican,"california, district 25",2
477,house,"january 3, 2019",stephen lynch,democratic,"massachusetts, district 8",16
478,house,"january 3, 2019",steve chabot,republican,"ohio, district 1",6
479,house,"january 3, 2019",steve cohen,democratic,"tennessee, district 9",10
480,house,"january 3, 2019",steve king,republican,"iowa, district 4",14
481,house,"january 3, 2019",steve pearce,republican,"new mexico, district 2",6
482,house,"january 3, 2019",steve russell,republican,"oklahoma, district 5",2
483,house,"january 3, 2019",steve scalise,republican,"louisiana, district 1",9
484,house,"january 3, 2019",steve stivers,republican,"ohio, district 15",6
485,house,"january 3, 2019",steve womack,republican,"arkansas, district 3",6
486,house,"january 3, 2019",steven palazzo,republican,"mississippi, district 4",6
487,house,"january 3, 2019",susan brooks,republican,"indiana, district 5",4
488,house,"january 3, 2019",susan davis,democratic,"california, district 53",16
489,house,"january 3, 2019",suzan delbene,democratic,"washington, district 1",5
490,house,"january 3, 2019",suzanne bonamici,democratic,"oregon, district 1",5
491,house,"january 3, 2019",ted budd,republican,"north carolina, district 13",0
492,house,"january 3, 2019",theodore e. deutch,democratic,"florida, district 22",7
493,house,"january 3, 2019",ted lieu,democratic,"california, district 33",2
494,house,"january 3, 2019",ted poe,republican,"texas, district 2",12
495,house,"january 3, 2019",ted yoho,republican,"florida, district 3",4
496,house,"january 3, 2019",terri sewell,democratic,"alabama, district 7",6
497,house,"january 3, 2019",thomas garrett,republican,"virginia, district 5",0
498,house,"january 3, 2015",thomas massie,republican,"kentucky, district 4",4
499,house,"january 3, 2019",thomas j. rooney,republican,"florida, district 17",8
500,house,"january 3, 2019",tim murphy,republican,"pennsylvania, district 18",14
501,house,"january 3, 2019",tim ryan,democratic,"ohio, district 13",14
502,house,"january 3, 2019",tim walberg,republican,"michigan, district 7",6
503,house,"january 3, 2019",tim walz,democratic,"minnesota, district 1",10
504,house,"january 3, 2019",todd rokita,republican,"indiana, district 4",6
505,house,"january 3, 2019",tom cole,republican,"oklahoma, district 4",14
506,house,"january 7, 2017",tom emmer,republican,"minnesota, district 6",2
507,house,"january 3, 2019",tom graves,republican,"georgia, district 14",7
508,house,"january 3, 2019",tom macarthur,republican,"new jersey, district 3",2
509,house,"january 3, 2019",tom marino,republican,"pennsylvania, district 10",6
510,house,"january 3, 2019",tom mcclintock,republican,"california, district 4",8
511,house,"january 3, 2019",tom o'halleran,democratic,"arizona, district 1",0
512,house,"january 3, 2019",tom price,republican,"president donald trump’s pick for secretary of health and human servicesu.s. house, georgia, district 6",12
513,house,"january 3, 2019",tom reed,republican,"new york, district 23",7
514,house,"january 3, 2019",tom rice,republican,"south carolina, district 7",4
515,house,"january 3, 2019",tom suozzi,democratic,"new york, district 3",0
516,house,"january 3, 2019",tony cardenas,democratic,"california, district 29",4
517,house,"january 3, 2019",trent franks,republican,"u.s. house arizona, district 8",14
518,house,"january 3, 2019",trent kelly,republican,"mississippi, district 1",2
519,house,"january 3, 2019",trey gowdy,republican,"south carolina, district 4",6
520,house,"january 3, 2019",trey hollingsworth,republican,"indiana, district 9",0
521,house,"january 3, 2019",tulsi gabbard,democratic,"hawaii, district 2",4
522,house,"january 3, 2019",val demings,democratic,"florida, district 10",0
523,house,"january 3, 2019",vern buchanan,republican,"florida, district 16",10
524,house,"january 3, 2019",vicente gonzález,democratic,"texas, district 15",0
525,house,"january 3, 2019",vicky hartzler,republican,"missouri, district 4",6
526,house,"january 3, 2019",virginia foxx,republican,"north carolina, district 5",12
527,house,"january 3, 2019",walter b. jones,republican,"north carolina, district 3",22
528,house,"january 3, 2019",warren davidson,republican,"ohio, district 8",1
529,house,"january 3, 2019",will hurd,republican,"texas, district 23",2
530,house,"january 3, 2019",william lacy clay,democratic,"missouri, district 1",16
531,house,"january 3, 2019",yvette d. clarke,democratic,"new york, district 9",10
532,house,"january 3, 2019",zoe lofgren,democratic,"california, district 19",22
